system,SOD,nPRN,vtec_1,vtec_2,vtec_3,vtec_4,vtec_5,vtec_6,vtec_7,vtec_8,vtec_9,vtec_10,vtec_11,vtec_12,vtec_13,vtec_14,vtec_15,vtec_16,vtec_17,vtec_18,vtec_19,vtec_20,vtec_21,vtec_22,vtec_23,vtec_24,stec_1,stec_2,stec_3,stec_4,stec_5,stec_6,stec_7,stec_8,stec_9,stec_10,stec_11,stec_12,stec_13,stec_14,stec_15,stec_16,stec_17,stec_18,stec_19,stec_20,stec_21,stec_22,stec_23,stec_24,roti_1,roti_2,roti_3,roti_4,roti_5,roti_6,roti_7,roti_8,roti_9,roti_10,roti_11,roti_12,roti_13,roti_14,roti_15,roti_16,roti_17,roti_18,roti_19,roti_20,roti_21,roti_22,roti_23,roti_24,ipplat_1,ipplat_2,ipplat_3,ipplat_4,ipplat_5,ipplat_6,ipplat_7,ipplat_8,ipplat_9,ipplat_10,ipplat_11,ipplat_12,ipplat_13,ipplat_14,ipplat_15,ipplat_16,ipplat_17,ipplat_18,ipplat_19,ipplat_20,ipplat_21,ipplat_22,ipplat_23,ipplat_24,ipplon_1,ipplon_2,ipplon_3,ipplon_4,ipplon_5,ipplon_6,ipplon_7,ipplon_8,ipplon_9,ipplon_10,ipplon_11,ipplon_12,ipplon_13,ipplon_14,ipplon_15,ipplon_16,ipplon_17,ipplon_18,ipplon_19,ipplon_20,ipplon_21,ipplon_22,ipplon_23,ipplon_24
GLO,33361,24,,,,,,,-104.85657946281393,-111.59429628402154,,,,,,,,,,,,,,,,,,,,,,,-106.30523644281084,-117.46386082576767,,,,,,,,,,,,,,,,,,,,,,,0.10298849694186252,0.0969936170292589,,,,,,,,,,,,,,,,,,,,,,,17.162545508057175,20.707445839537193,,,,,,,,,,,,,,,,,,,,,,,97.56372642156695,96.12023885054275,,,,,,,,,,,,,,,,
GLO,33391,24,,,,,,,-104.6269629914589,-111.54677591466995,,,,,,,,,,,,,,,,,,,,,,,-106.05288749783512,-117.35802019912909,,,,,,,,,,,,,,,,,,,,,,,0.09702729371979658,0.09140867002322928,,,,,,,,,,,,,,,,,,,,,,,17.14069720169862,20.68408042742557,,,,,,,,,,,,,,,,,,,,,,,97.55997294884986,96.12039442950683,,,,,,,,,,,,,,,,
GLO,33421,24,,,,,,,-104.39554077141943,-111.48399437108215,,,,,,,,,,,,-74.03063754179941,,,,,,,,,,,-105.79714948773436,-117.23158500976336,,,,,,,,,,,,-56.43892740548236,,,,,,,,,,,0.10481992781124487,0.10057662945068309,,,,,,,,,,,,,,,,,,,,,,,17.118741752025556,20.66081091615946,,,,,,,,,,,,16.590199807956402,,,,,,,,,,,97.55620272626679,96.12045995408124,,,,,,,,,,,,103.40119623772266,,,,
GLO,33451,24,,,,,,,-104.20567703525829,-111.40919916445156,,,,,,,,,,,,-74.18163185987235,,,,,,,,,,,-105.59042145554243,-117.08924765289774,,,,,,,,,,,,-56.83595994126401,,,,,,,,,,,0.06549906949505913,0.08388608419026729,,,,,,,,,,,,,,,,,,,,,,,17.09667752672705,20.637635351288512,,,,,,,,,,,,16.622416916629835,,,,,,,,,,,97.55241591084162,96.12043622667218,,,,,,,,,,,,103.38814817868693,,,,
GLO,33481,24,,,,,,,-103.95688008190213,-111.38063415118911,,,,,,,,,,,,-74.11277735236018,,,,,,,,,,,-105.31122128767194,-117.0131258805232,,,,,,,,,,,,-56.848473116292354,,,,,,,,,,,0.07129677418313203,0.09314169055265298,,,,,,,,,,,,,,,,,,,,,,,17.074502874536716,20.61455179993076,,,,,,,,,,,,16.65442042500044,,,,,,,,,,,97.54861266083869,96.12032403416501,,,,,,,,,,,,103.37517455955715,,,,
GLO,33511,24,,,,,,,-103.73754849658448,-111.4061634947637,,,,,,,,,,,,-74.1874159149332,,,,,,,,,,,-105.06643233296603,-117.0139079221766,,,,,,,,,,,,-57.108642841069155,,,,,,,,,,,0.03946426815190892,0.058753919311906065,,,,,,,,,,,,,,,,,,,,,,,17.05221612490047,20.591558350304805,,,,,,,,,,,,16.686213223855,,,,,,,,,,,97.54479313581598,96.12012414818349,,,,,,,,,,,,103.36227531139642,,,,
GLO,33541,24,,,,,,,-103.53270765988087,-111.37779177464593,,,,,,,,,,,,-74.38455464404717,,,,,,,,,,,-104.83806687053556,-116.9396109499867,,,,,,,,,,,,-57.577886868305,,,,,,,,,,,0.04847110469877278,0.025329182479995337,,,,,,,,,,,,0.0,,,,,,,,,,,17.02981558764168,20.568653111236408,,,,,,,,,,,,16.71779817483841,,,,,,,,,,,97.54095749671228,96.11983732538627,,,,,,,,,,,,103.34945036012732,,,,
GLO,33571,24,,,,,,,-103.31220698972434,-111.37394444544131,,,,,,,,,,,,-74.42656515303098,,,,,,,,,,,-104.58936756225582,-116.90050730526819,,,,,,,,,,,,-57.777054873900425,,,,,,,,,,,0.0378512461816347,0.07180219327526569,,,,,,,,,,,,0.0,,,,,,,,,,,17.007299552606927,20.54583421168416,,,,,,,,,,,,16.749178110753306,,,,,,,,,,,97.53710590590126,96.11946430771351,,,,,,,,,,,,103.33669962678088,,,,
GLO,33601,24,,,,,,,-103.10085235658977,-111.31907925807734,,,,,,,,,,,,-74.35334291113485,,,,,,,,,,,-104.35057447818622,-116.79075632505578,,,,,,,,,,,,-57.777054873900425,,,,,,,,,,,0.013133584039265794,0.05268446223299296,,,,,,,,,,,,0.1330607393805269,,,,,,,,,,,16.98466628929869,20.52309980023544,,,,,,,,,,,,16.780355835896714,,,,,,,,,,,97.53323852727793,96.11900582267045,,,,,,,,,,,,103.32402302778345,,,,
GLO,33631,24,,,,,,,-102.91172049055416,-111.2605512305251,,,,,,,,,,,,-74.55393838695427,,,,,,,,,,,-104.13785053903126,-116.67683431071839,,,,,,,,,,,,-58.244213275093585,,,,,,,,,,,0.020456483349948228,0.060006794857346765,,,,,,,,,,,,0.15106026139297465,,,,,,,,,,,16.9619140465554,20.500448044708737,,,,,,,,,,,,16.811334126312023,,,,,,,,,,,97.5293555263235,96.11846258356307,,,,,,,,,,,,103.31142047521209,,,,
GLO,33661,24,,,,,,,-102.69901125410452,-111.2127504452585,,,,,,,,,,,,-74.57693581403478,,,,,,,,,,,-103.89488642083668,-116.57881446388092,,,,,,,,,,,,-58.405581111379576,,,,,,,,,,,0.01111277494804738,0.05128247188361289,,,,,,,,,,,,0.15397321981405554,,,,,,,,,,,16.93904105215371,20.477877131643613,,,,,,,,,,,,16.84211573013349,,,,,,,,,,,97.52545707019173,96.11783528976956,,,,,,,,,,,,103.29889187706539,,,,
GLO,33691,24,,,,,,,-102.434317704798,-111.16655929923901,,,,,,,,,,,,-74.70572242549264,,,,,,,,,,,-103.58622811558001,-116.48392285631044,,,,,,,,,,,,-58.745000956778114,,,,,,,,,,,0.024994919668035815,0.06467964503160284,,,,,,,,,,,,0.10748250597398712,,,,,,,,,,,16.916045512462876,20.455385265897778,,,,,,,,,,,,16.87270336788461,,,,,,,,,,,97.52154332777452,96.11712462696458,,,,,,,,,,,,103.2864371374875,,,,
