system,SOD,nPRN,vtec_1,vtec_2,vtec_3,stec_1,stec_2,stec_3,roti_1,roti_2,roti_3,ipplat_1,ipplat_2,ipplat_3,ipplon_1,ipplon_2,ipplon_3
QZS,42811,3,-71.24461144500646,-55.18631426913832,-58.31767386902082,-68.3096519005644,-45.213628788956306,-53.40540785219135,0.02338751362612201,0.019290348023053197,0.04063354077390226,20.637075166131062,18.72005032944512,17.592704924555573,101.70442429660537,102.43384403489662,101.07407619695613
QZS,42841,3,-71.19722117312413,-55.130808503515055,-58.20412326381275,-68.2437480665277,-45.16161243374385,-53.26437641691239,0.022681980088135843,0.030223409343741896,0.03779432886701262,20.634958689245884,18.725800442977942,17.592695679715003,101.70571161101658,102.42820906284543,101.07407503711002
QZS,42871,3,-71.16364296149958,-55.093030359952664,-58.13430923248792,-68.19716578623274,-45.13481405242627,-53.17766080014531,0.026244894597037646,0.03149503921873912,0.05451705031178861,20.632827077310516,18.731537259319076,17.59268642137923,101.70699525937935,102.42259049643583,101.07407387466286
QZS,42901,3,-71.09657241990399,-55.05635525389199,-58.07080557315052,-68.10379570673615,-45.10953169841779,-53.098781857033124,0.021851526033941214,0.0569325273535977,0.028058237227265675,20.630680343540092,18.73726084561012,17.59267714959301,101.7082752020991,102.41698831029917,101.07407270960958
QZS,42931,3,-71.03504853065876,-55.01996316841497,-57.97575123071677,-68.01819786293709,-45.08459611779691,-52.98072029761554,0.028225753901003115,0.062303842268933506,0.07135769802188054,20.628518501397867,18.742971268650024,17.592667864401182,101.70955139972524,102.41140247909674,101.07407154194502
QZS,42961,3,-70.97383143999555,-54.99960862788727,-57.82244721536892,-67.9330496387447,-45.08237364455241,-52.79031880165491,0.03577495081607055,0.06300237304115694,0.07238625301911253,20.626341564598704,18.748668594887196,17.59265856584864,101.71082381294985,102.40583297752914,101.07407037166402
QZS,42991,3,-70.91309562366202,-54.99168953140613,-57.736848025650204,-67.84859513485901,-45.09769981356809,-52.68399918002812,0.04757988693172166,0.05965510109329494,0.08394876896066118,20.624149547104015,18.75435289042874,17.592649253980337,101.71209240261216,102.4002797803296,101.07406919876142
QZS,43021,3,-70.84146783854729,-54.937335846420325,-57.63021859928386,-67.74894299080961,-45.04708368244159,-52.55156211391779,0.03848656791183209,0.07149364956383712,0.06857417064184168,20.621942463125905,18.760024221030903,17.5926399288413,101.71335712969666,102.39474286227492,101.07406802323214
QZS,43051,3,-70.78072819004491,-54.92884287334152,-57.51715505975021,-67.66452712656076,-45.06140776602482,-52.41113439404284,0.043011265133845976,0.05814073802302897,0.034728427342231624,20.619720327122213,18.765682652111217,17.59263059047661,101.71461795533725,102.38922219817586,101.07406684507106
QZS,43081,3,-70.70086561350954,-54.937263030812005,-57.35695192825021,-67.55341561152596,-45.09954977294834,-52.21216409585892,0.032440781346125255,0.030052658500714056,0.05177400356952949,20.617483153804233,18.771328248728874,17.592621238931436,101.7158748408138,102.38371776289785,101.07406566427304
QZS,43111,3,-70.65905363232663,-54.910474492458754,-57.20738303773818,-67.49548958993739,-45.08774357073154,-52.02640016613393,0.023411185311811016,0.026439372401317413,0.03496896011014213,20.615230958120655,18.776961075622612,17.592611874250977,101.71712774756215,102.37822953132621,101.07406448083297
QZS,43141,3,-70.62050992763454,-54.910415143305286,-57.04550450097432,-67.44215000069386,-45.113629755831575,-51.825348707030095,0.016554053316567587,0.032518411690402434,0.06222897270697776,20.61296375527285,18.782581197173972,17.592602496480527,101.7183766371665,102.37275747840383,101.07406329474568
QZS,43171,3,-70.56074537245243,-54.94533529299868,-56.88169168274002,-67.3591857836405,-45.18877037192161,-51.62189482272027,0.005686060980399742,0.025357841037161044,0.060987550018081385,20.610681560703778,18.788188677432373,17.59259310566541,101.71962147136647,102.36730157910841,101.07406210600615
QZS,43201,3,-70.51754539594374,-54.975835209236614,-56.64506460386936,-67.2993841200389,-45.25746187065753,-51.32801285078536,0.026381026766705416,0.028499479472777416,0.04993333622878614,20.608384390106778,18.79378358009385,17.59258370185106,101.72086221205338,102.36186180847506,101.0740609146092
QZS,43231,3,-70.4584284990593,-55.052941229652546,-56.43381267528553,-67.2173705653085,-45.39165894908914,-51.06564387430223,0.014430664480646534,0.04007055588294892,0.05266670062703366,20.60607225941201,18.799365968532342,17.59257428508294,101.72209882127841,102.35643814156788,101.0740597205498
QZS,43261,3,-70.39040961735753,-55.092416817957364,-56.200020402576776,-67.1229469772698,-45.47254200522267,-50.77528175347873,0.027304488823508107,0.05412325302410084,0.08667019623869943,20.603745184797532,18.80493590577262,17.59256485540657,101.72333126124765,102.35103055350775,101.07405852382281
QZS,43291,3,-70.31101299227237,-55.13463991358769,-55.92977476036083,-67.01265776923736,-45.55707355700705,-50.439647860762456,0.01584748677666446,0.0726260008993711,0.09313104752267719,20.60140318268093,18.810493454508915,17.59255541286755,101.72455949432734,102.34563901945646,101.07405732442315
QZS,43321,3,-70.24332455195665,-55.17140559400785,-55.653601983333644,-66.9187480652314,-45.63370440208556,-50.0966526544747,0.026313343581289877,0.06359261408336604,0.07949083710940325,20.59904626972381,18.816038677093452,17.592545957511543,101.72578348304248,102.34026351462907,101.07405612234572
QZS,43351,3,-70.15225190905417,-55.184704682066155,-55.390494609952,-66.7922077084931,-45.67713922944589,-49.76988297210364,0.022100402614863363,0.055220332605826955,0.09429252483148058,20.596674462826975,18.8215716355488,17.59253648938426,101.72700319008025,102.3349040142842,101.07405491758549
QZS,43381,3,-70.06885744313725,-55.21954894382335,-55.05999366772829,-66.67641998758575,-45.75067398685557,-49.359416712735715,0.028922830984013777,0.059293434707433965,0.09741944160208355,20.594287779136494,18.827092391550746,17.59252700853151,101.72821857828768,102.32956049374215,101.07405371013736
QZS,43411,3,-69.9965094508064,-55.247619792704825,-54.82110324318393,-66.5760869645461,-45.81449654428483,-49.062721277781186,0.030701939515388937,0.032433097922317806,0.09325689799672884,20.59188623602977,18.832601006461342,17.59251751499911,101.72942961067973,102.32423292835449,101.07405249999626
QZS,43441,3,-69.90495798151362,-55.252999658661864,-54.548335207748636,-66.4489684593492,-45.846305063546005,-48.72395277344673,0.02995492138200229,0.0286595181889067,0.08778215515767086,20.58946985112842,18.83809754129553,17.592508008832965,101.73063625043356,102.31892129353821,101.07405128715713
QZS,43471,3,-69.78720644153876,-55.309724435024734,-54.30256628672933,-66.28530102243633,-45.94992696753244,-48.41871416105801,0.02596119433323725,0.026129456678513005,0.05177600016586128,20.587038642290644,18.843582056741113,17.59249849007906,101.73183846089312,102.31362556475821,101.07405007161492
QZS,43501,3,-69.69671142125418,-55.359672671255424,-54.08681711668831,-66.15972405364994,-46.04381087321807,-48.15075684032872,0.020346232285359214,0.03673993852482881,0.06137034049820526,20.58459262760943,18.849054613157723,17.592488958783402,101.73303620557098,102.30834571752963,101.0740488533646
QZS,43531,3,-69.60769296138086,-55.38492729333479,-53.78406165675992,-66.03624120278744,-46.10290591735285,-47.77474562612793,0.027884563039064444,0.013447134031554812,0.027566745467139123,20.582131825421197,18.85451527056142,17.5924794149921,101.73422944814499,102.30308172743489,101.07404763240112
QZS,43561,3,-69.52283813845611,-55.4339314421688,-53.577312646554915,-65.91860358034364,-46.19502992640461,-47.517964936047214,0.02497280897437283,0.03159281935545573,0.05464556890447997,20.57965625428738,18.85996408865958,17.59246985875129,101.73541815246776,102.29783357009106,101.07404640871947
QZS,43591,3,-69.47101884118112,-55.462616016914325,-53.40826912583803,-65.84711145990457,-46.25853127739155,-47.30801062696131,0.024413507989650245,0.009640014627994407,0.023856918170768012,20.577165933009457,18.865401126821478,17.592460290107176,101.73660228256037,102.29260122118032,101.07404518231459
QZS,43621,3,-69.40347803023221,-55.47170935004353,-53.25053222920388,-65.75370285645857,-46.29448933501991,-47.11209783465316,0.018680151431919898,0.030993105790075744,0.05409487002065478,20.57466088062474,18.870826444083526,17.59245070910604,101.73778180261536,102.2873846564464,101.07404395318149
QZS,43651,3,-69.3564328866133,-55.477897414723046,-53.08545101828906,-65.6889295788626,-46.32624648901541,-46.90706383213968,0.031539922059675776,0.006888972213686112,0.0833800719004994,20.572141116399322,18.876240099164914,17.592441115794205,101.7389566770004,102.28218385168087,101.07404272131515
QZS,43681,3,-69.32042437402922,-55.49087531508958,-52.91690472318817,-65.63958525865758,-46.367330372123014,-46.697726253305554,0.0363207866024542,0.034084623763942085,0.0861066048320406,20.569606659833777,18.881642150452866,17.592431510218066,101.74012687025689,102.27699878273924,101.07404148671056
QZS,43711,3,-69.27218173165328,-55.51146852467668,-52.760647656354095,-65.57319328106479,-46.41887148293964,-46.50365052121739,0.04306810124155157,0.029264523144985666,0.0996275692002149,20.567057530654402,18.8870326560219,17.592421892424067,101.74129234710438,102.27182942552396,101.07404024936275
QZS,43741,3,-69.22478498947684,-55.55043229670404,-52.66849469691307,-65.50800896565511,-46.49582347661673,-46.38918609218491,0.05533217217026773,0.03934961385667033,0.09069843224948747,20.564493748821043,18.892411673613992,17.5924122624587,101.74245307243771,102.26667575600469,101.07403900926676
